"SiteID","Pct_Windows_Facing_North","Pct_Windows_Facing_NorthEast","Pct_Windows_Facing_East","Pct_Windows_Facing_SouthEast","Pct_Windows_Facing_South","Pct_Windows_Facing_SouthWest","Pct_Windows_Facing_West","Pct_Windows_Facing_NorthWest","Pct_Windows_Facing_Unknown"
"SITE_1313","12.5%","0.0%","25.0%","0.0%","25.0%","0.0%","37.5%","0.0%","0.0%"
"SITE_1314","33.3%","0.0%","0.0%","0.0%","33.3%","11.1%","0.0%","22.2%","0.0%"
"SITE_1315","21.4%","0.0%","21.4%","0.0%","42.9%","0.0%","14.3%","0.0%","0.0%"
"SITE_1316","33.3%","0.0%","16.7%","0.0%","33.3%","0.0%","16.7%","0.0%","0.0%"
"SITE_1317","50.0%","0.0%","0.0%","0.0%","20.0%","0.0%","30.0%","0.0%","0.0%"
"SITE_1318","33.3%","0.0%","41.7%","0.0%","8.3%","0.0%","16.7%","0.0%","0.0%"
"SITE_1319","15.4%","0.0%","38.5%","0.0%","23.1%","0.0%","15.4%","0.0%","7.7%"
"SITE_132","8.3%","0.0%","0.0%","0.0%","66.7%","0.0%","25.0%","0.0%","0.0%"
"SITE_1320","10.0%","0.0%","40.0%","0.0%","20.0%","0.0%","30.0%","0.0%","0.0%"
"SITE_1321","16.7%","0.0%","41.7%","0.0%","16.7%","0.0%","25.0%","0.0%","0.0%"
"SITE_1322","0.0%","13.3%","0.0%","33.3%","13.3%","6.7%","33.3%","0.0%","0.0%"
"SITE_1323","33.3%","0.0%","11.1%","0.0%","44.4%","0.0%","11.1%","0.0%","0.0%"
"SITE_1324","37.5%","0.0%","0.0%","0.0%","37.5%","0.0%","25.0%","0.0%","0.0%"
"SITE_1325","30.8%","0.0%","7.7%","0.0%","38.5%","0.0%","23.1%","0.0%","0.0%"
"SITE_1326","0.0%","30.0%","0.0%","20.0%","0.0%","30.0%","0.0%","20.0%","0.0%"
"SITE_1327","16.7%","0.0%","41.7%","0.0%","33.3%","0.0%","8.3%","0.0%","0.0%"
"SITE_1328","33.3%","0.0%","13.3%","0.0%","26.7%","0.0%","20.0%","0.0%","6.7%"
"SITE_1329","0.0%","18.2%","0.0%","27.3%","0.0%","27.3%","0.0%","27.3%","0.0%"
"SITE_133","45.5%","0.0%","36.4%","0.0%","0.0%","0.0%","18.2%","0.0%","0.0%"
"SITE_1330","21.4%","0.0%","28.6%","0.0%","14.3%","0.0%","35.7%","0.0%","0.0%"
"SITE_1331","6.7%","0.0%","40.0%","0.0%","6.7%","0.0%","46.7%","0.0%","0.0%"
"SITE_1332","0.0%","0.0%","22.2%","0.0%","0.0%","0.0%","77.8%","0.0%","0.0%"
"SITE_1333","50.0%","0.0%","0.0%","0.0%","50.0%","0.0%","0.0%","0.0%","0.0%"
"SITE_1334","41.7%","0.0%","25.0%","0.0%","16.7%","0.0%","16.7%","0.0%","0.0%"
"SITE_1335","37.5%","0.0%","0.0%","0.0%","25.0%","0.0%","37.5%","0.0%","0.0%"
"SITE_1336","0.0%","40.0%","0.0%","10.0%","0.0%","40.0%","0.0%","10.0%","0.0%"
"SITE_1337","13.0%","0.0%","26.1%","0.0%","13.0%","0.0%","47.8%","0.0%","0.0%"
"SITE_1338","16.7%","0.0%","41.7%","0.0%","16.7%","0.0%","16.7%","0.0%","8.3%"
"SITE_1339","28.6%","0.0%","42.9%","0.0%","28.6%","0.0%","0.0%","0.0%","0.0%"
"SITE_134","14.3%","0.0%","28.6%","0.0%","28.6%","0.0%","28.6%","0.0%","0.0%"
"SITE_1340","30.8%","0.0%","7.7%","0.0%","30.8%","0.0%","30.8%","0.0%","0.0%"
"SITE_1341","0.0%","28.6%","0.0%","14.3%","0.0%","57.1%","0.0%","0.0%","0.0%"
"SITE_1342","26.3%","0.0%","31.6%","0.0%","10.5%","0.0%","31.6%","0.0%","0.0%"
"SITE_1343","0.0%","0.0%","33.3%","0.0%","20.8%","0.0%","45.8%","0.0%","0.0%"
"SITE_1344","14.3%","0.0%","23.8%","0.0%","33.3%","4.8%","19.0%","4.8%","0.0%"
"SITE_1345","12.5%","0.0%","37.5%","0.0%","12.5%","0.0%","37.5%","0.0%","0.0%"
"SITE_1346","42.9%","0.0%","0.0%","0.0%","28.6%","0.0%","28.6%","0.0%","0.0%"
"SITE_1347","26.7%","0.0%","13.3%","0.0%","26.7%","0.0%","33.3%","0.0%","0.0%"
"SITE_1348","0.0%","0.0%","60.0%","0.0%","0.0%","0.0%","40.0%","0.0%","0.0%"
"SITE_1349","37.5%","0.0%","4.2%","0.0%","37.5%","0.0%","16.7%","0.0%","4.2%"
"SITE_135","8.7%","0.0%","8.7%","0.0%","56.5%","0.0%","26.1%","0.0%","0.0%"
"SITE_1350","18.2%","0.0%","18.2%","0.0%","27.3%","0.0%","36.4%","0.0%","0.0%"
"SITE_1351","18.2%","0.0%","18.2%","0.0%","27.3%","0.0%","36.4%","0.0%","0.0%"
"SITE_1352","15.4%","0.0%","26.9%","0.0%","23.1%","0.0%","34.6%","0.0%","0.0%"
"SITE_1353","17.6%","0.0%","29.4%","0.0%","23.5%","0.0%","29.4%","0.0%","0.0%"
"SITE_1354","0.0%","0.0%","46.7%","0.0%","6.7%","0.0%","46.7%","0.0%","0.0%"
"SITE_1355","55.6%","0.0%","11.1%","0.0%","22.2%","0.0%","11.1%","0.0%","0.0%"
"SITE_1356","37.5%","0.0%","0.0%","0.0%","25.0%","0.0%","25.0%","0.0%","12.5%"
"SITE_1357","15.4%","0.0%","46.2%","0.0%","30.8%","0.0%","7.7%","0.0%","0.0%"
"SITE_1358","26.7%","0.0%","13.3%","0.0%","40.0%","0.0%","13.3%","6.7%","0.0%"
"SITE_1359","11.8%","0.0%","29.4%","0.0%","17.6%","0.0%","41.2%","0.0%","0.0%"
"SITE_136","0.0%","41.7%","0.0%","25.0%","0.0%","8.3%","0.0%","25.0%","0.0%"
"SITE_1360","16.7%","0.0%","33.3%","0.0%","33.3%","0.0%","16.7%","0.0%","0.0%"
"SITE_1361","0.0%","22.7%","0.0%","18.2%","0.0%","22.7%","0.0%","36.4%","0.0%"
"SITE_1364","33.3%","0.0%","50.0%","0.0%","16.7%","0.0%","0.0%","0.0%","0.0%"
"SITE_1365","21.4%","0.0%","21.4%","0.0%","50.0%","0.0%","7.1%","0.0%","0.0%"
"SITE_1366","11.8%","0.0%","47.1%","0.0%","11.8%","0.0%","29.4%","0.0%","0.0%"
"SITE_1367","0.0%","5.3%","26.3%","0.0%","36.8%","0.0%","31.6%","0.0%","0.0%"
"SITE_1368","45.5%","0.0%","0.0%","0.0%","54.5%","0.0%","0.0%","0.0%","0.0%"
"SITE_1369","20.0%","0.0%","40.0%","0.0%","0.0%","0.0%","40.0%","0.0%","0.0%"
"SITE_137","0.0%","15.0%","10.0%","20.0%","10.0%","25.0%","0.0%","20.0%","0.0%"
"SITE_1370","0.0%","20.0%","0.0%","25.0%","0.0%","35.0%","0.0%","20.0%","0.0%"
"SITE_1371","0.0%","37.5%","0.0%","12.5%","0.0%","37.5%","0.0%","12.5%","0.0%"
"SITE_1372","20.0%","0.0%","40.0%","0.0%","20.0%","0.0%","20.0%","0.0%","0.0%"
"SITE_1373","22.6%","0.0%","25.8%","0.0%","41.9%","0.0%","9.7%","0.0%","0.0%"
"SITE_1374","0.0%","0.0%","44.4%","0.0%","0.0%","0.0%","55.6%","0.0%","0.0%"
"SITE_1375","50.0%","0.0%","37.5%","0.0%","12.5%","0.0%","0.0%","0.0%","0.0%"
"SITE_1376","33.3%","0.0%","16.7%","11.1%","27.8%","11.1%","0.0%","0.0%","0.0%"
"SITE_1377","25.0%","0.0%","0.0%","0.0%","25.0%","0.0%","50.0%","0.0%","0.0%"
"SITE_1378","42.9%","0.0%","0.0%","0.0%","28.6%","0.0%","28.6%","0.0%","0.0%"
"SITE_1379","31.8%","0.0%","18.2%","0.0%","36.4%","0.0%","9.1%","0.0%","4.5%"
"SITE_138","29.4%","0.0%","5.9%","0.0%","41.2%","0.0%","23.5%","0.0%","0.0%"
"SITE_1380","11.1%","22.2%","33.3%","0.0%","0.0%","0.0%","33.3%","0.0%","0.0%"
"SITE_1381","13.3%","0.0%","33.3%","0.0%","40.0%","0.0%","13.3%","0.0%","0.0%"
"SITE_1382","26.7%","0.0%","26.7%","0.0%","13.3%","0.0%","20.0%","13.3%","0.0%"
"SITE_1383","25.0%","0.0%","0.0%","0.0%","25.0%","0.0%","50.0%","0.0%","0.0%"
"SITE_1384","0.0%","30.8%","0.0%","15.4%","0.0%","30.8%","7.7%","15.4%","0.0%"
"SITE_1385","42.9%","0.0%","14.3%","0.0%","42.9%","0.0%","0.0%","0.0%","0.0%"
"SITE_1386","40.0%","0.0%","20.0%","0.0%","40.0%","0.0%","0.0%","0.0%","0.0%"
"SITE_1387","35.7%","0.0%","35.7%","0.0%","7.1%","0.0%","21.4%","0.0%","0.0%"
"SITE_1388","0.0%","0.0%","11.1%","0.0%","22.2%","0.0%","66.7%","0.0%","0.0%"
"SITE_1389","20.0%","0.0%","80.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%"
"SITE_139","66.7%","0.0%","0.0%","0.0%","25.0%","0.0%","8.3%","0.0%","0.0%"
"SITE_1390","0.0%","0.0%","60.0%","0.0%","0.0%","0.0%","40.0%","0.0%","0.0%"
"SITE_1391","22.2%","0.0%","33.3%","0.0%","11.1%","0.0%","22.2%","11.1%","0.0%"
"SITE_1392","21.4%","0.0%","21.4%","0.0%","28.6%","0.0%","28.6%","0.0%","0.0%"
"SITE_1393","18.2%","9.1%","18.2%","0.0%","36.4%","0.0%","9.1%","9.1%","0.0%"
"SITE_1394","40.0%","0.0%","0.0%","0.0%","0.0%","20.0%","40.0%","0.0%","0.0%"
"SITE_1395","22.2%","3.7%","40.7%","3.7%","11.1%","0.0%","18.5%","0.0%","0.0%"
"SITE_1396","33.3%","0.0%","11.1%","0.0%","33.3%","0.0%","22.2%","0.0%","0.0%"
"SITE_1397","60.0%","0.0%","0.0%","0.0%","40.0%","0.0%","0.0%","0.0%","0.0%"
"SITE_1398","18.2%","0.0%","27.3%","0.0%","36.4%","0.0%","18.2%","0.0%","0.0%"
"SITE_1399","20.0%","0.0%","20.0%","0.0%","35.0%","0.0%","25.0%","0.0%","0.0%"
"SITE_14","37.5%","0.0%","25.0%","0.0%","25.0%","0.0%","12.5%","0.0%","0.0%"
"SITE_140","28.6%","0.0%","28.6%","0.0%","28.6%","0.0%","14.3%","0.0%","0.0%"
"SITE_1400","0.0%","0.0%","18.2%","0.0%","36.4%","0.0%","45.5%","0.0%","0.0%"
"SITE_1401","23.5%","0.0%","23.5%","0.0%","29.4%","0.0%","23.5%","0.0%","0.0%"
"SITE_1402","0.0%","0.0%","42.9%","0.0%","14.3%","0.0%","42.9%","0.0%","0.0%"
"SITE_1403","23.8%","0.0%","14.3%","4.8%","42.9%","9.5%","4.8%","0.0%","0.0%"
"SITE_1404","16.7%","0.0%","16.7%","0.0%","33.3%","0.0%","33.3%","0.0%","0.0%"
"SITE_1405","0.0%","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%"
"SITE_1406","60.0%","0.0%","0.0%","0.0%","40.0%","0.0%","0.0%","0.0%","0.0%"
"SITE_1407","66.7%","0.0%","0.0%","0.0%","33.3%","0.0%","0.0%","0.0%","0.0%"
"SITE_1408","25.0%","0.0%","8.3%","25.0%","0.0%","16.7%","16.7%","8.3%","0.0%"
"SITE_1409","22.2%","0.0%","22.2%","0.0%","22.2%","0.0%","33.3%","0.0%","0.0%"
"SITE_141","9.1%","0.0%","27.3%","0.0%","27.3%","0.0%","36.4%","0.0%","0.0%"
"SITE_1410","0.0%","21.4%","0.0%","35.7%","0.0%","14.3%","0.0%","28.6%","0.0%"
"SITE_1411","0.0%","0.0%","28.6%","0.0%","14.3%","0.0%","42.9%","0.0%","14.3%"
"SITE_1412","40.0%","0.0%","20.0%","0.0%","40.0%","0.0%","0.0%","0.0%","0.0%"
"SITE_1413","41.2%","0.0%","11.8%","0.0%","29.4%","0.0%","17.6%","0.0%","0.0%"
"SITE_1414","18.2%","0.0%","15.2%","0.0%","48.5%","0.0%","15.2%","0.0%","3.0%"
"SITE_1415","11.1%","0.0%","44.4%","0.0%","22.2%","0.0%","22.2%","0.0%","0.0%"
"SITE_1416","9.1%","0.0%","36.4%","0.0%","27.3%","0.0%","27.3%","0.0%","0.0%"
"SITE_1417","28.6%","0.0%","28.6%","0.0%","0.0%","0.0%","42.9%","0.0%","0.0%"
"SITE_1418","0.0%","23.1%","0.0%","30.8%","0.0%","15.4%","0.0%","30.8%","0.0%"
"SITE_1419","8.3%","0.0%","41.7%","0.0%","0.0%","0.0%","50.0%","0.0%","0.0%"
"SITE_142","25.0%","0.0%","25.0%","0.0%","16.7%","0.0%","33.3%","0.0%","0.0%"
"SITE_1420","23.8%","0.0%","23.8%","0.0%","19.0%","0.0%","33.3%","0.0%","0.0%"
"SITE_1421","12.1%","0.0%","15.2%","0.0%","45.5%","0.0%","27.3%","0.0%","0.0%"
"SITE_1422","25.0%","0.0%","75.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%"
"SITE_1423","33.3%","0.0%","26.7%","0.0%","20.0%","0.0%","20.0%","0.0%","0.0%"
"SITE_1424","28.6%","0.0%","28.6%","0.0%","14.3%","0.0%","28.6%","0.0%","0.0%"
"SITE_1425","36.4%","0.0%","18.2%","0.0%","9.1%","0.0%","36.4%","0.0%","0.0%"
"SITE_1426","16.7%","0.0%","33.3%","0.0%","8.3%","0.0%","41.7%","0.0%","0.0%"
"SITE_1427","30.8%","0.0%","23.1%","0.0%","30.8%","0.0%","15.4%","0.0%","0.0%"
"SITE_1428","0.0%","50.0%","0.0%","8.3%","0.0%","41.7%","0.0%","0.0%","0.0%"
"SITE_1429","0.0%","0.0%","37.5%","0.0%","37.5%","0.0%","25.0%","0.0%","0.0%"
"SITE_143","19.0%","0.0%","23.8%","0.0%","28.6%","0.0%","28.6%","0.0%","0.0%"
"SITE_1430","10.0%","0.0%","20.0%","0.0%","30.0%","0.0%","40.0%","0.0%","0.0%"
"SITE_1431","50.0%","0.0%","16.7%","8.3%","8.3%","0.0%","16.7%","0.0%","0.0%"
"SITE_1432","0.0%","11.8%","0.0%","11.8%","5.9%","52.9%","0.0%","17.6%","0.0%"
"SITE_1433","15.4%","0.0%","7.7%","15.4%","30.8%","0.0%","30.8%","0.0%","0.0%"
"SITE_1434","33.3%","0.0%","16.7%","0.0%","16.7%","0.0%","33.3%","0.0%","0.0%"
"SITE_1435","0.0%","25.0%","0.0%","33.3%","0.0%","16.7%","0.0%","25.0%","0.0%"
"SITE_1436","20.8%","0.0%","33.3%","0.0%","20.8%","0.0%","25.0%","0.0%","0.0%"
"SITE_1437","66.7%","0.0%","20.0%","0.0%","13.3%","0.0%","0.0%","0.0%","0.0%"
"SITE_1438","20.0%","0.0%","20.0%","0.0%","32.0%","0.0%","28.0%","0.0%","0.0%"
"SITE_1439","28.6%","0.0%","14.3%","0.0%","42.9%","0.0%","14.3%","0.0%","0.0%"
"SITE_144","0.0%","10.0%","0.0%","10.0%","0.0%","40.0%","0.0%","40.0%","0.0%"
"SITE_1440","16.7%","0.0%","22.2%","0.0%","50.0%","0.0%","11.1%","0.0%","0.0%"
"SITE_1441","45.5%","0.0%","27.3%","0.0%","27.3%","0.0%","0.0%","0.0%","0.0%"
"SITE_1442","15.4%","0.0%","38.5%","0.0%","15.4%","0.0%","30.8%","0.0%","0.0%"
"SITE_1443","0.0%","25.0%","0.0%","6.2%","0.0%","25.0%","0.0%","43.8%","0.0%"
"SITE_1444","18.5%","7.4%","11.1%","7.4%","33.3%","0.0%","22.2%","0.0%","0.0%"
"SITE_1445","9.1%","0.0%","50.0%","0.0%","13.6%","0.0%","27.3%","0.0%","0.0%"
"SITE_1446","22.2%","0.0%","22.2%","0.0%","44.4%","0.0%","11.1%","0.0%","0.0%"
"SITE_1447","54.5%","0.0%","0.0%","0.0%","36.4%","0.0%","9.1%","0.0%","0.0%"
"SITE_1448","12.5%","0.0%","37.5%","0.0%","12.5%","0.0%","37.5%","0.0%","0.0%"
"SITE_1449","0.0%","9.1%","0.0%","0.0%","36.4%","18.2%","9.1%","27.3%","0.0%"
"SITE_145","0.0%","0.0%","42.1%","0.0%","26.3%","0.0%","26.3%","0.0%","5.3%"
"SITE_1450","15.4%","0.0%","30.8%","0.0%","30.8%","0.0%","23.1%","0.0%","0.0%"
"SITE_1451","27.3%","0.0%","9.1%","0.0%","36.4%","0.0%","27.3%","0.0%","0.0%"
"SITE_1452","10.0%","0.0%","30.0%","0.0%","40.0%","0.0%","20.0%","0.0%","0.0%"
"SITE_1453","9.1%","0.0%","36.4%","0.0%","9.1%","0.0%","45.5%","0.0%","0.0%"
"SITE_1454","36.4%","0.0%","0.0%","0.0%","63.6%","0.0%","0.0%","0.0%","0.0%"
"SITE_1455","33.3%","0.0%","13.3%","0.0%","40.0%","0.0%","13.3%","0.0%","0.0%"
"SITE_1456","0.0%","25.0%","0.0%","25.0%","0.0%","50.0%","0.0%","0.0%","0.0%"
"SITE_1457","22.2%","0.0%","11.1%","0.0%","38.9%","0.0%","27.8%","0.0%","0.0%"
"SITE_1458","47.4%","0.0%","10.5%","0.0%","31.6%","0.0%","10.5%","0.0%","0.0%"
"SITE_1459","25.0%","0.0%","62.5%","0.0%","0.0%","0.0%","12.5%","0.0%","0.0%"
"SITE_146","20.0%","0.0%","10.0%","0.0%","60.0%","0.0%","10.0%","0.0%","0.0%"
"SITE_1460","28.6%","0.0%","28.6%","0.0%","14.3%","0.0%","28.6%","0.0%","0.0%"
"SITE_1461","6.2%","0.0%","43.8%","0.0%","25.0%","0.0%","25.0%","0.0%","0.0%"
"SITE_1462","20.0%","0.0%","35.0%","0.0%","20.0%","0.0%","25.0%","0.0%","0.0%"
"SITE_1463","12.5%","6.2%","15.6%","12.5%","6.2%","9.4%","28.1%","6.2%","3.1%"
"SITE_1464","25.0%","0.0%","25.0%","0.0%","16.7%","0.0%","33.3%","0.0%","0.0%"
"SITE_1465","21.4%","21.4%","0.0%","14.3%","0.0%","28.6%","7.1%","7.1%","0.0%"
"SITE_1466","16.7%","0.0%","33.3%","0.0%","33.3%","0.0%","16.7%","0.0%","0.0%"
"SITE_1467","3.6%","17.9%","3.6%","3.6%","10.7%","28.6%","10.7%","21.4%","0.0%"
"SITE_1468","17.6%","0.0%","23.5%","0.0%","29.4%","0.0%","29.4%","0.0%","0.0%"
"SITE_1469","20.0%","0.0%","35.0%","0.0%","10.0%","0.0%","30.0%","0.0%","5.0%"
"SITE_147","0.0%","46.7%","0.0%","6.7%","0.0%","20.0%","0.0%","26.7%","0.0%"
"SITE_1470","6.7%","0.0%","40.0%","0.0%","13.3%","0.0%","40.0%","0.0%","0.0%"
"SITE_1471","0.0%","0.0%","33.3%","0.0%","33.3%","0.0%","33.3%","0.0%","0.0%"
"SITE_1472","45.5%","0.0%","0.0%","0.0%","27.3%","0.0%","27.3%","0.0%","0.0%"
"SITE_1473","44.4%","0.0%","16.7%","0.0%","27.8%","5.6%","5.6%","0.0%","0.0%"
"SITE_1474","13.3%","0.0%","33.3%","0.0%","13.3%","0.0%","40.0%","0.0%","0.0%"
"SITE_1475","33.3%","0.0%","16.7%","0.0%","16.7%","0.0%","33.3%","0.0%","0.0%"
"SITE_1476","23.1%","0.0%","23.1%","0.0%","38.5%","0.0%","15.4%","0.0%","0.0%"
"SITE_1477","33.3%","0.0%","16.7%","0.0%","33.3%","0.0%","16.7%","0.0%","0.0%"
"SITE_1478","25.8%","0.0%","16.1%","0.0%","3.2%","0.0%","54.8%","0.0%","0.0%"
"SITE_1479","0.0%","22.2%","0.0%","27.8%","0.0%","22.2%","0.0%","27.8%","0.0%"
"SITE_148","0.0%","12.5%","25.0%","12.5%","12.5%","0.0%","37.5%","0.0%","0.0%"
"SITE_1480","20.0%","20.0%","0.0%","0.0%","0.0%","20.0%","20.0%","20.0%","0.0%"
"SITE_1481","23.5%","0.0%","23.5%","0.0%","29.4%","0.0%","23.5%","0.0%","0.0%"
"SITE_1482","25.0%","0.0%","25.0%","0.0%","25.0%","0.0%","25.0%","0.0%","0.0%"
"SITE_1483","14.3%","0.0%","35.7%","0.0%","7.1%","0.0%","42.9%","0.0%","0.0%"
"SITE_1484","25.0%","0.0%","43.8%","0.0%","6.2%","0.0%","25.0%","0.0%","0.0%"
"SITE_1485","0.0%","0.0%","0.0%","33.3%","11.1%","0.0%","0.0%","55.6%","0.0%"
"SITE_1486","16.7%","0.0%","25.0%","0.0%","41.7%","0.0%","16.7%","0.0%","0.0%"
"SITE_1487","20.0%","0.0%","20.0%","0.0%","10.0%","0.0%","50.0%","0.0%","0.0%"
"SITE_1488","0.0%","0.0%","66.7%","0.0%","33.3%","0.0%","0.0%","0.0%","0.0%"
"SITE_1489","30.0%","0.0%","20.0%","0.0%","30.0%","0.0%","20.0%","0.0%","0.0%"
"SITE_149","14.3%","0.0%","28.6%","0.0%","35.7%","0.0%","21.4%","0.0%","0.0%"
"SITE_1490","37.5%","0.0%","12.5%","0.0%","25.0%","0.0%","25.0%","0.0%","0.0%"
"SITE_1491","33.3%","0.0%","11.1%","0.0%","55.6%","0.0%","0.0%","0.0%","0.0%"
"SITE_1492","11.1%","0.0%","22.2%","0.0%","0.0%","0.0%","66.7%","0.0%","0.0%"
"SITE_1493","10.0%","0.0%","20.0%","0.0%","50.0%","0.0%","20.0%","0.0%","0.0%"
"SITE_1494","22.2%","11.1%","33.3%","0.0%","11.1%","0.0%","22.2%","0.0%","0.0%"
"SITE_1495","57.1%","0.0%","14.3%","0.0%","28.6%","0.0%","0.0%","0.0%","0.0%"
"SITE_1496","22.2%","0.0%","16.7%","0.0%","50.0%","0.0%","11.1%","0.0%","0.0%"
"SITE_1497","20.0%","0.0%","26.7%","0.0%","26.7%","0.0%","26.7%","0.0%","0.0%"
"SITE_1498","30.0%","0.0%","0.0%","0.0%","50.0%","0.0%","20.0%","0.0%","0.0%"
"SITE_1499","35.7%","0.0%","21.4%","0.0%","21.4%","0.0%","21.4%","0.0%","0.0%"
"SITE_15","0.0%","0.0%","57.1%","0.0%","0.0%","0.0%","42.9%","0.0%","0.0%"
"SITE_150","50.0%","0.0%","0.0%","0.0%","37.5%","0.0%","12.5%","0.0%","0.0%"
"SITE_1500","31.2%","0.0%","18.8%","0.0%","25.0%","0.0%","25.0%","0.0%","0.0%"
"SITE_1501","7.7%","0.0%","38.5%","0.0%","15.4%","0.0%","38.5%","0.0%","0.0%"
"SITE_1502","33.3%","0.0%","16.7%","0.0%","50.0%","0.0%","0.0%","0.0%","0.0%"
"SITE_1503","11.1%","0.0%","22.2%","0.0%","33.3%","0.0%","33.3%","0.0%","0.0%"
"SITE_1504","22.2%","0.0%","22.2%","0.0%","33.3%","0.0%","22.2%","0.0%","0.0%"
"SITE_1505","0.0%","18.2%","0.0%","27.3%","0.0%","27.3%","0.0%","27.3%","0.0%"
"SITE_1506","23.8%","0.0%","33.3%","0.0%","19.0%","0.0%","23.8%","0.0%","0.0%"
"SITE_1507","44.4%","0.0%","0.0%","0.0%","33.3%","0.0%","22.2%","0.0%","0.0%"
"SITE_1509","0.0%","20.0%","0.0%","0.0%","20.0%","40.0%","20.0%","0.0%","0.0%"
"SITE_151","0.0%","18.2%","0.0%","36.4%","9.1%","0.0%","0.0%","36.4%","0.0%"
"SITE_1510","12.5%","0.0%","25.0%","0.0%","12.5%","0.0%","50.0%","0.0%","0.0%"
"SITE_1511","30.0%","0.0%","20.0%","0.0%","30.0%","0.0%","20.0%","0.0%","0.0%"
"SITE_1512","25.0%","0.0%","25.0%","0.0%","25.0%","0.0%","25.0%","0.0%","0.0%"
"SITE_1513","15.4%","0.0%","38.5%","0.0%","15.4%","0.0%","30.8%","0.0%","0.0%"
"SITE_1514","50.0%","0.0%","16.7%","0.0%","0.0%","0.0%","33.3%","0.0%","0.0%"
"SITE_1515","10.0%","0.0%","50.0%","0.0%","0.0%","0.0%","40.0%","0.0%","0.0%"
"SITE_1516","7.1%","0.0%","35.7%","0.0%","57.1%","0.0%","0.0%","0.0%","0.0%"
"SITE_1517","8.3%","0.0%","41.7%","0.0%","16.7%","0.0%","33.3%","0.0%","0.0%"
"SITE_1518","0.0%","0.0%","46.7%","0.0%","26.7%","0.0%","26.7%","0.0%","0.0%"
"SITE_1519","0.0%","37.5%","0.0%","0.0%","0.0%","50.0%","0.0%","12.5%","0.0%"
"SITE_152","12.5%","0.0%","37.5%","0.0%","25.0%","0.0%","25.0%","0.0%","0.0%"
"SITE_1520","0.0%","0.0%","54.5%","0.0%","0.0%","0.0%","45.5%","0.0%","0.0%"
"SITE_1521","44.4%","0.0%","0.0%","0.0%","55.6%","0.0%","0.0%","0.0%","0.0%"
"SITE_1522","0.0%","20.0%","0.0%","20.0%","0.0%","20.0%","0.0%","40.0%","0.0%"
"SITE_1523","12.5%","0.0%","25.0%","0.0%","25.0%","0.0%","37.5%","0.0%","0.0%"
"SITE_1524","0.0%","0.0%","50.0%","0.0%","16.7%","0.0%","33.3%","0.0%","0.0%"
"SITE_1525","11.1%","0.0%","22.2%","0.0%","22.2%","0.0%","44.4%","0.0%","0.0%"
"SITE_1526","0.0%","0.0%","33.3%","0.0%","0.0%","0.0%","66.7%","0.0%","0.0%"
"SITE_1527","69.2%","0.0%","0.0%","0.0%","30.8%","0.0%","0.0%","0.0%","0.0%"
"SITE_1528","20.0%","0.0%","20.0%","0.0%","0.0%","0.0%","60.0%","0.0%","0.0%"
"SITE_1529","11.1%","5.6%","16.7%","0.0%","27.8%","0.0%","38.9%","0.0%","0.0%"
"SITE_153","41.7%","0.0%","25.0%","0.0%","16.7%","0.0%","16.7%","0.0%","0.0%"
"SITE_1530","8.7%","17.4%","8.7%","4.3%","26.1%","0.0%","17.4%","17.4%","0.0%"
"SITE_1531","50.0%","0.0%","12.5%","0.0%","25.0%","0.0%","12.5%","0.0%","0.0%"
"SITE_1532","5.6%","11.1%","5.6%","27.8%","0.0%","5.6%","0.0%","44.4%","0.0%"
"SITE_1533","20.0%","0.0%","60.0%","0.0%","20.0%","0.0%","0.0%","0.0%","0.0%"
"SITE_1534","42.9%","0.0%","14.3%","0.0%","42.9%","0.0%","0.0%","0.0%","0.0%"
"SITE_1535","27.3%","9.1%","9.1%","9.1%","36.4%","0.0%","9.1%","0.0%","0.0%"
"SITE_1536","0.0%","28.6%","0.0%","14.3%","0.0%","42.9%","0.0%","14.3%","0.0%"
"SITE_1537","17.6%","0.0%","47.1%","5.9%","17.6%","0.0%","11.8%","0.0%","0.0%"
"SITE_1538","28.6%","0.0%","7.1%","0.0%","42.9%","0.0%","7.1%","14.3%","0.0%"
"SITE_1539","22.2%","0.0%","11.1%","0.0%","33.3%","0.0%","33.3%","0.0%","0.0%"
"SITE_154","35.7%","0.0%","14.3%","0.0%","42.9%","0.0%","7.1%","0.0%","0.0%"
"SITE_1540","0.0%","0.0%","25.0%","0.0%","25.0%","0.0%","50.0%","0.0%","0.0%"
"SITE_1541","0.0%","20.0%","0.0%","40.0%","0.0%","20.0%","0.0%","20.0%","0.0%"
"SITE_1542","16.7%","0.0%","27.8%","0.0%","22.2%","0.0%","33.3%","0.0%","0.0%"
"SITE_1543","0.0%","15.4%","0.0%","15.4%","0.0%","38.5%","0.0%","30.8%","0.0%"
"SITE_1544","46.7%","0.0%","6.7%","0.0%","40.0%","0.0%","6.7%","0.0%","0.0%"
"SITE_1545","40.0%","0.0%","0.0%","0.0%","40.0%","0.0%","20.0%","0.0%","0.0%"
"SITE_1546","22.2%","0.0%","33.3%","0.0%","22.2%","0.0%","22.2%","0.0%","0.0%"
