Table,Variable,Values
Appliance_Thermostat.csv,Type,Timer
Appliance_Thermostat.csv,Type,Wi-Fi enabled thermostat
Building_Shell_One_Line.csv,Attached_Detached_SF_StrataVar,Attached
Building_Shell_One_Line.csv,Attached_Detached_SF_StrataVar,Detached
Building_Shell_One_Line.csv,BPA_SF_StrataVar,BPA
Building_Shell_One_Line.csv,BPA_SF_StrataVar,Non-BPA
Building_Shell_One_Line.csv,Building_Category,"Duplex, Triplex, or Fourplex"
Building_Shell_One_Line.csv,Building_Category,Manufactured - Double Wide
Building_Shell_One_Line.csv,Building_Category,Manufactured - Single Wide
Building_Shell_One_Line.csv,Building_Category,Single Family Detached
Building_Shell_One_Line.csv,Building_Category,Townhome or Rowhome
Building_Shell_One_Line.csv,Building_Type,Single Family
Building_Shell_One_Line.csv,Electric_Utility_BPA,No
Building_Shell_One_Line.csv,Electric_Utility_BPA,Yes
Building_Shell_One_Line.csv,Gas_Utility,AVISTA
Building_Shell_One_Line.csv,Gas_Utility,BIG SKY GAS
Building_Shell_One_Line.csv,Gas_Utility,CASCADE NATURAL GAS COMPANY
Building_Shell_One_Line.csv,Gas_Utility,ENERGY WEST
Building_Shell_One_Line.csv,Gas_Utility,INTERMOUNTAIN GAS
Building_Shell_One_Line.csv,Gas_Utility,MONTANA DOKOTA GAS
Building_Shell_One_Line.csv,Gas_Utility,NORTHWESTERN
Building_Shell_One_Line.csv,Gas_Utility,NW NATURAL GAS
Building_Shell_One_Line.csv,Gas_Utility,PUGET SOUND ENERGY
Building_Shell_One_Line.csv,Gas_Utility,UNKNOWN
Building_Shell_One_Line.csv,NWN_SF_StrataVar,NWN
Building_Shell_One_Line.csv,NWN_SF_StrataVar,Non-NWN
Building_Shell_One_Line.csv,Ownership,Own
Building_Shell_One_Line.csv,Ownership,Rent
Building_Shell_One_Line.csv,Region_SF_StrataVar,ID
Building_Shell_One_Line.csv,Region_SF_StrataVar,MT - BPA
Building_Shell_One_Line.csv,Region_SF_StrataVar,OR - Eastern
Building_Shell_One_Line.csv,Region_SF_StrataVar,OR - Western
Building_Shell_One_Line.csv,Region_SF_StrataVar,WA - Eastern
Building_Shell_One_Line.csv,Region_SF_StrataVar,WA - Puget Sound
Building_Shell_One_Line.csv,Region_SF_StrataVar,WA - Western
Building_Shell_One_Line.csv,Sample_SF_StrataVar,Avista
Building_Shell_One_Line.csv,Sample_SF_StrataVar,BPA
Building_Shell_One_Line.csv,Sample_SF_StrataVar,Base/Core
Building_Shell_One_Line.csv,Sample_SF_StrataVar,HZ 2/3
Building_Shell_One_Line.csv,Sample_SF_StrataVar,NWN
Building_Shell_One_Line.csv,State,ID
Building_Shell_One_Line.csv,State,MT
Building_Shell_One_Line.csv,State,OR
Building_Shell_One_Line.csv,State,WA
Door.csv,Door_Construction,Double
Door.csv,Door_Construction,Dutch
Door.csv,Door_Construction,Single
Door.csv,Door_Dimensions_Are_Estimated,Estimated
Door.csv,Door_Dimensions_Are_Estimated,Measured or Known
Door.csv,Door_Mechanism,Hinge
Door.csv,Door_Mechanism,Slider
Door.csv,Door_Type,Fiberglass
Door.csv,Door_Type,Metal
Door.csv,Door_Type,Vinyl
Door.csv,Door_Type,Wood Hollow
Door.csv,Door_Type,Wood Solid Core
Door.csv,Door_Window_Type,> 80% window (glass French door)
Door.csv,Door_Window_Type,"Decorative window (arch, etc.)"
Door.csv,Door_Window_Type,Half window
Door.csv,Door_Window_Type,None
Door.csv,Door_Window_Type,Other
Door.csv,Interior_or_Exterior,Exterior
Door.csv,Interior_or_Exterior,Interior
Ducting.csv,Cavity_Used_for_Air_Transport,No
Ducting.csv,Cavity_Used_for_Air_Transport,Yes
Ducting.csv,Crossover_Condition,Connected
Ducting.csv,Crossover_Condition,Disconnected
Ducting.csv,Crossover_Condition,Partially connected
Ducting.csv,Crossover_Present,No
Ducting.csv,Crossover_Present,Yes
Ducting.csv,Duct_Sealing_Material,Mastic
Ducting.csv,Duct_Sealing_Material,Mortite
Ducting.csv,Duct_Sealing_Material,Caulking
Ducting.csv,Duct_Sealing_Material,Duct or Foil tape
Ducting.csv,Duct_Sealing_Material,Other
Ducting.csv,Duct_Sealing_Material,Unknown
Ducting.csv,Evidence_of_Duct_Sealing,No
Ducting.csv,Evidence_of_Duct_Sealing,Yes
Ducting.csv,Flex_Run_Insulation_Type,R4
Ducting.csv,Flex_Run_Insulation_Type,R6
Ducting.csv,Flex_Run_Insulation_Type,R8
Ducting.csv,Insulation_Present,No
Ducting.csv,Insulation_Present,Yes
Ducting.csv,Insulation_Type,Duct board
Ducting.csv,Insulation_Type,Fiberglass batts
Ducting.csv,Insulation_Type,Foam board
Ducting.csv,Insulation_Type,Foil-faced bubble wrap
Ducting.csv,Insulation_Type,Foil-faced fiberglass
Ducting.csv,System_Type,90 Flex (spider system)
Ducting.csv,System_Type,All Metal
Ducting.csv,System_Type,"Duct Board Plenum, Flex Runs"
Ducting.csv,System_Type,"Metal Plenum, Flex Runs"
ElectricalPanel.csv,Electrical_Panel_Type,Breaker Panel
ElectricalPanel.csv,Electrical_Panel_Type,Fuse Panel
ElectricalPanel.csv,Primary_Panel,Primary
ElectricalPanel.csv,Primary_Panel,Secondary
ElectricVehicleChargers.csv,EV_Charging_Station_Type,Level 1 - 1.3kW -110V (standard wall outlet)
ElectricVehicleChargers.csv,EV_Charging_Station_Type,Level 2 - 19.2kW (100A service)
ElectricVehicleChargers.csv,EV_Charging_Station_Type,Level 2 - 3.3kW (15A service)
ElectricVehicleChargers.csv,EV_Charging_Station_Type,Level 2 - 6.6kW (30A Service)
ElectricVehicleChargers.csv,EV_Charging_Station_Type,Level 2 - 9.6kW (50A service)
ElectricVehicleChargers.csv,EV_Charging_Station_Type,Other
ElectricVehicles.csv,Electric_Vehicle_Type,EV
ElectricVehicles.csv,Electric_Vehicle_Type,PHEV
Envelope_Ceiling.csv,Ceiling_Accessible,No
Envelope_Ceiling.csv,Ceiling_Accessible,Yes
Envelope_Ceiling.csv,Ceiling_Framing_Material,Metal
Envelope_Ceiling.csv,Ceiling_Framing_Material,Other
Envelope_Ceiling.csv,Ceiling_Framing_Material,TJI
Envelope_Ceiling.csv,Ceiling_Framing_Material,Wood
Envelope_Ceiling.csv,Ceiling_Framing_Size,2x10
Envelope_Ceiling.csv,Ceiling_Framing_Size,2x12
Envelope_Ceiling.csv,Ceiling_Framing_Size,2x2
Envelope_Ceiling.csv,Ceiling_Framing_Size,2x4
Envelope_Ceiling.csv,Ceiling_Framing_Size,2x6
Envelope_Ceiling.csv,Ceiling_Framing_Size,2x8
Envelope_Ceiling.csv,Ceiling_Framing_Size,Open web truss
Envelope_Ceiling.csv,Ceiling_Framing_Size,Scissor Truss
Envelope_Ceiling.csv,Ceiling_Framing_Spacing,16 inches on center
Envelope_Ceiling.csv,Ceiling_Framing_Spacing,24 inches on center
Envelope_Ceiling.csv,Ceiling_Framing_Spacing,30 inches on center
Envelope_Ceiling.csv,Ceiling_Framing_Spacing,Other
Envelope_Ceiling.csv,Ceiling_Insulated,No
Envelope_Ceiling.csv,Ceiling_Insulated,Yes
Envelope_Ceiling.csv,Ceiling_Insulation_Source,IR Camera
Envelope_Ceiling.csv,Ceiling_Insulation_Source,Other
Envelope_Ceiling.csv,Ceiling_Insulation_Source,Visual inspection
Envelope_Ceiling.csv,Ceiling_Insulation_Type_1,Blown cellulose
Envelope_Ceiling.csv,Ceiling_Insulation_Type_1,Blown fiberglass
Envelope_Ceiling.csv,Ceiling_Insulation_Type_1,Blown mineral wool
Envelope_Ceiling.csv,Ceiling_Insulation_Type_1,Cellulose batts
Envelope_Ceiling.csv,Ceiling_Insulation_Type_1,Closed-cell spray foam
Envelope_Ceiling.csv,Ceiling_Insulation_Type_1,Expanded polystyrene foam board (white)
Envelope_Ceiling.csv,Ceiling_Insulation_Type_1,Extruded polystyrene foam board (pink or blue)
Envelope_Ceiling.csv,Ceiling_Insulation_Type_1,Fiberglass batts
Envelope_Ceiling.csv,Ceiling_Insulation_Type_1,Foil-faced polyiscyanurate foam board
Envelope_Ceiling.csv,Ceiling_Insulation_Type_1,Mineral wool batts
Envelope_Ceiling.csv,Ceiling_Insulation_Type_1,Mixed
Envelope_Ceiling.csv,Ceiling_Insulation_Type_1,Open-cell spray foam
Envelope_Ceiling.csv,Ceiling_Insulation_Type_1,Perlite
Envelope_Ceiling.csv,Ceiling_Insulation_Type_1,Vermiculite
Envelope_Ceiling.csv,Ceiling_Insulation_Type_2,Blown cellulose
Envelope_Ceiling.csv,Ceiling_Insulation_Type_2,Blown fiberglass
Envelope_Ceiling.csv,Ceiling_Insulation_Type_2,Blown mineral wool
Envelope_Ceiling.csv,Ceiling_Insulation_Type_2,Cellulose batts
Envelope_Ceiling.csv,Ceiling_Insulation_Type_2,Closed-cell spray foam
Envelope_Ceiling.csv,Ceiling_Insulation_Type_2,Expanded polystyrene foam board (white)
Envelope_Ceiling.csv,Ceiling_Insulation_Type_2,Extruded polystyrene foam board (pink or blue)
Envelope_Ceiling.csv,Ceiling_Insulation_Type_2,Fiberglass batts
Envelope_Ceiling.csv,Ceiling_Insulation_Type_2,Foil-faced polyiscyanurate foam board
Envelope_Ceiling.csv,Ceiling_Insulation_Type_2,Mineral wool batts
Envelope_Ceiling.csv,Ceiling_Insulation_Type_2,None
Envelope_Ceiling.csv,Ceiling_Insulation_Type_2,Perlite
Envelope_Ceiling.csv,Ceiling_Insulation_Type_2,Vermiculite
Envelope_Ceiling.csv,Ceiling_Insulation_Type_3,Blown cellulose
Envelope_Ceiling.csv,Ceiling_Insulation_Type_3,Blown fiberglass
Envelope_Ceiling.csv,Ceiling_Insulation_Type_3,Blown mineral wool
Envelope_Ceiling.csv,Ceiling_Insulation_Type_3,Closed-cell spray foam
Envelope_Ceiling.csv,Ceiling_Insulation_Type_3,Expanded polystyrene foam board (white)
Envelope_Ceiling.csv,Ceiling_Insulation_Type_3,Fiberglass batts
Envelope_Ceiling.csv,Ceiling_Insulation_Type_3,Mineral wool batts
Envelope_Ceiling.csv,Ceiling_Insulation_Type_3,None
Envelope_Ceiling.csv,Ceiling_Insulation_Type_3,Vermiculite
Envelope_Ceiling.csv,Ceiling_Type,Adiabatic
Envelope_Ceiling.csv,Ceiling_Type,Attic
Envelope_Ceiling.csv,Ceiling_Type,Other
Envelope_Ceiling.csv,Ceiling_Type,Roof Deck
Envelope_Ceiling.csv,Ceiling_Type,Sloped / Vaulted (no Attic)
Envelope_Ceiling.csv,Type_of_Area_Above_Ceiling,Residential occupancy
Envelope_Construction.csv,Construction_Type,Frame
Envelope_Construction.csv,Construction_Type,Frame over concrete slab
Envelope_Construction.csv,Construction_Type,Rigid frame (concrete or steel)
Envelope_Construction.csv,Construction_Type,Solid masonry
Envelope_Construction.csv,Foundation_Type,>90% Conditioned Basement
Envelope_Construction.csv,Foundation_Type,>90% Crawlspace
Envelope_Construction.csv,Foundation_Type,>90% Slab
Envelope_Construction.csv,Foundation_Type,>90% Unconditioned Basement
Envelope_Construction.csv,Foundation_Type,Adiabatic Space Below
Envelope_Construction.csv,Foundation_Type,Mixed Basement and Slab
Envelope_Construction.csv,Foundation_Type,Mixed Conditioned Basement and Slab
Envelope_Construction.csv,Foundation_Type,Mixed Crawlspace and Conditioned Basement
Envelope_Construction.csv,Foundation_Type,Mixed Crawlspace and Garage
Envelope_Construction.csv,Foundation_Type,Mixed Crawlspace and Slab
Envelope_Construction.csv,Foundation_Type,Other
Envelope_Construction.csv,Framing_Type,Concrete
Envelope_Construction.csv,Framing_Type,Masonry
Envelope_Construction.csv,Framing_Type,Other
Envelope_Construction.csv,Framing_Type,Steel
Envelope_Construction.csv,Framing_Type,Wood
Envelope_Construction.csv,Total_Building_Levels,1
Envelope_Construction.csv,Total_Building_Levels,1.5
Envelope_Construction.csv,Total_Building_Levels,2
Envelope_Construction.csv,Total_Building_Levels,2.5
Envelope_Construction.csv,Total_Building_Levels,3+
Envelope_Floor_Foundation.csv,Basement_Floor_Above_Insulated,No
Envelope_Floor_Foundation.csv,Basement_Floor_Above_Insulated,Yes
Envelope_Floor_Foundation.csv,Basement_Floor_Above_Insulation_Source,IR Camera
Envelope_Floor_Foundation.csv,Basement_Floor_Above_Insulation_Source,Other
Envelope_Floor_Foundation.csv,Basement_Floor_Above_Insulation_Source,Visual inspection
Envelope_Floor_Foundation.csv,Basement_Floor_Above_Insulation_Type,Blown cellulose
Envelope_Floor_Foundation.csv,Basement_Floor_Above_Insulation_Type,Blown mineral wool
Envelope_Floor_Foundation.csv,Basement_Floor_Above_Insulation_Type,Expanded polystyrene foam board (white)
Envelope_Floor_Foundation.csv,Basement_Floor_Above_Insulation_Type,Fiberglass batts
Envelope_Floor_Foundation.csv,Basement_Floor_Above_Insulation_Type,Foil-faced polyiscyanurate foam board
Envelope_Floor_Foundation.csv,Basement_Floor_Above_Insulation_Type,Mineral wool batts
Envelope_Floor_Foundation.csv,Basement_Floor_Above_Insulation_Type,Mixed
Envelope_Floor_Foundation.csv,Basement_Floor_Above_Insulation_Type,None
Envelope_Floor_Foundation.csv,Basement_Floor_Above_Insulation_Type,Open-cell spray foam
Envelope_Floor_Foundation.csv,Central_Heating_Equipment_in_Basement,No
Envelope_Floor_Foundation.csv,Central_Heating_Equipment_in_Basement,Yes
Envelope_Floor_Foundation.csv,Crawlspace_Vents_Blocked,No
Envelope_Floor_Foundation.csv,Crawlspace_Vents_Blocked,Yes
Envelope_Floor_Foundation.csv,Crawlspace_Vents_Present,No
Envelope_Floor_Foundation.csv,Crawlspace_Vents_Present,Yes
Envelope_Floor_Foundation.csv,Crawlspace_Wall_Exterior_Insulation_Source,IR Camera
Envelope_Floor_Foundation.csv,Crawlspace_Wall_Exterior_Insulation_Source,Other
Envelope_Floor_Foundation.csv,Crawlspace_Wall_Exterior_Insulation_Source,Visual inspection
Envelope_Floor_Foundation.csv,Crawlspace_Wall_Exterior_Insulation_Type,Expanded polystyrene foam board (white)
Envelope_Floor_Foundation.csv,Crawlspace_Wall_Exterior_Insulation_Type,Extruded polystyrene foam board (pink or blue)
Envelope_Floor_Foundation.csv,Crawlspace_Wall_Exterior_Insulation_Type,Rigid Insulation Sheathing
Envelope_Floor_Foundation.csv,Crawlspace_Wall_Exteriors_Insulated,No
Envelope_Floor_Foundation.csv,Crawlspace_Wall_Exteriors_Insulated,Yes
Envelope_Floor_Foundation.csv,Crawlspace_Wall_Insulation_Source,Other
Envelope_Floor_Foundation.csv,Crawlspace_Wall_Insulation_Source,Visual inspection
Envelope_Floor_Foundation.csv,Crawlspace_Wall_Insulation_Type,Blown cellulose
Envelope_Floor_Foundation.csv,Crawlspace_Wall_Insulation_Type,Blown mineral wool
Envelope_Floor_Foundation.csv,Crawlspace_Wall_Insulation_Type,Closed-cell spray foam
Envelope_Floor_Foundation.csv,Crawlspace_Wall_Insulation_Type,Expanded polystyrene foam board (white)
Envelope_Floor_Foundation.csv,Crawlspace_Wall_Insulation_Type,Extruded polystyrene foam board (pink or blue)
Envelope_Floor_Foundation.csv,Crawlspace_Wall_Insulation_Type,Fiberglass batts
Envelope_Floor_Foundation.csv,Crawlspace_Wall_Insulation_Type,Foil-faced polyiscyanurate foam board
Envelope_Floor_Foundation.csv,Crawlspace_Wall_Insulation_Type,Mineral wool batts
Envelope_Floor_Foundation.csv,Crawlspace_Wall_Insulation_Type,Mixed
Envelope_Floor_Foundation.csv,Crawlspace_Wall_Insulation_Type,Open-cell spray foam
Envelope_Floor_Foundation.csv,Crawlspace_Wall_Insulation_Type,Vermiculite
Envelope_Floor_Foundation.csv,Crawlspace_Walls_Insulated,No
Envelope_Floor_Foundation.csv,Crawlspace_Walls_Insulated,Yes
Envelope_Floor_Foundation.csv,Ducting_in_Basement,Insulated
Envelope_Floor_Foundation.csv,Ducting_in_Basement,No
Envelope_Floor_Foundation.csv,Ducting_in_Basement,Uninsulated
Envelope_Floor_Foundation.csv,Floor_Above_Insulation_Source,IR Camera
Envelope_Floor_Foundation.csv,Floor_Above_Insulation_Source,Other
Envelope_Floor_Foundation.csv,Floor_Above_Insulation_Source,Visual inspection
Envelope_Floor_Foundation.csv,Floor_Area_Is_Estimated,Estimated
Envelope_Floor_Foundation.csv,Floor_Area_Is_Estimated,Measured or Known
Envelope_Floor_Foundation.csv,Floor_Insulated,No
Envelope_Floor_Foundation.csv,Floor_Insulated,Yes
Envelope_Floor_Foundation.csv,Floor_Insulation_Type,Blown cellulose
Envelope_Floor_Foundation.csv,Floor_Insulation_Type,Blown fiberglass
Envelope_Floor_Foundation.csv,Floor_Insulation_Type,Blown mineral wool
Envelope_Floor_Foundation.csv,Floor_Insulation_Type,Cellulose batts
Envelope_Floor_Foundation.csv,Floor_Insulation_Type,Closed-cell spray foam
Envelope_Floor_Foundation.csv,Floor_Insulation_Type,Expanded polystyrene foam board (white)
Envelope_Floor_Foundation.csv,Floor_Insulation_Type,Extruded polystyrene foam board (pink or blue)
Envelope_Floor_Foundation.csv,Floor_Insulation_Type,Fiberglass batts
Envelope_Floor_Foundation.csv,Floor_Insulation_Type,Foil-faced polyiscyanurate foam board
Envelope_Floor_Foundation.csv,Floor_Insulation_Type,Mineral wool batts
Envelope_Floor_Foundation.csv,Floor_Insulation_Type,Mixed
Envelope_Floor_Foundation.csv,Floor_Insulation_Type,Open-cell spray foam
Envelope_Floor_Foundation.csv,Floor_Type,Basement
Envelope_Floor_Foundation.csv,Floor_Type,Cantilever
Envelope_Floor_Foundation.csv,Floor_Type,Crawlspace
Envelope_Floor_Foundation.csv,Floor_Type,Floor over other - Frame
Envelope_Floor_Foundation.csv,Floor_Type,Floor over other - Other
Envelope_Floor_Foundation.csv,Floor_Type,Floor over other - Slab
Envelope_Floor_Foundation.csv,Floor_Type,Floor over other - Unknown
Envelope_Floor_Foundation.csv,Floor_Type,Slab
Envelope_Floor_Foundation.csv,Framing_Size,2x10 or 4x10
Envelope_Floor_Foundation.csv,Framing_Size,2x12 or 4x12
Envelope_Floor_Foundation.csv,Framing_Size,2x6 or 4x6
Envelope_Floor_Foundation.csv,Framing_Size,2x8 or 4x8
Envelope_Floor_Foundation.csv,Framing_Spacing,12 inches on center
Envelope_Floor_Foundation.csv,Framing_Spacing,16 inches on center
Envelope_Floor_Foundation.csv,Framing_Spacing,24 inches on center
Envelope_Floor_Foundation.csv,Framing_Spacing,30 inches on center
Envelope_Floor_Foundation.csv,Framing_Spacing,Other
Envelope_Floor_Foundation.csv,Framing_Type,Joist
Envelope_Floor_Foundation.csv,Framing_Type,Post and Beam
Envelope_Floor_Foundation.csv,Is_Space_Conditioned,No
Envelope_Floor_Foundation.csv,Is_Space_Conditioned,Yes
Envelope_Floor_Foundation.csv,Perimeter_Is_Estimated,Estimated
Envelope_Floor_Foundation.csv,Perimeter_Is_Estimated,Measured or Known
Envelope_Floor_Foundation.csv,Slab_Heated,No
Envelope_Floor_Foundation.csv,Slab_Heated,Yes
Envelope_Floor_Foundation.csv,Slab_Insulated,No
Envelope_Floor_Foundation.csv,Slab_Insulated,Yes
Envelope_Floor_Foundation.csv,Slab_Insulation_Position,Complete
Envelope_Floor_Foundation.csv,Slab_Insulation_Position,Perimeter
Envelope_Floor_Foundation.csv,Slab_Insulation_Source,IR Camera
Envelope_Floor_Foundation.csv,Slab_Insulation_Source,Other
Envelope_Floor_Foundation.csv,Slab_Insulation_Source,Visual inspection
Envelope_Floor_Foundation.csv,Slab_Insulation_Type,Closed-cell spray foam
Envelope_Floor_Foundation.csv,Slab_Insulation_Type,Expanded polystyrene foam board (white)
Envelope_Floor_Foundation.csv,Slab_Insulation_Type,Extruded polystyrene foam board (pink or blue)
Envelope_Floor_Foundation.csv,Slab_Insulation_Type,Fiberglass batts
Envelope_Floor_Foundation.csv,Slab_Insulation_Type,Foil-faced polyiscyanurate foam board
Envelope_Floor_Foundation.csv,Slab_Insulation_Type,Open-cell spray foam
Envelope_Wall.csv,Basement_Wall_Area_Sq_Ft_Is_Estimated,Estimated
Envelope_Wall.csv,Basement_Wall_Area_Sq_Ft_Is_Estimated,Measured or Known
Envelope_Wall.csv,Furred_Wall,No
Envelope_Wall.csv,Furred_Wall,Yes
Envelope_Wall.csv,Furred_Wall_Insulated,No
Envelope_Wall.csv,Furred_Wall_Insulated,Yes
Envelope_Wall.csv,Furred_Wall_Insulation_Source,IR Camera
Envelope_Wall.csv,Furred_Wall_Insulation_Source,Other
Envelope_Wall.csv,Furred_Wall_Insulation_Source,Visual inspection
Envelope_Wall.csv,Furred_Wall_Insulation_Type,Closed-cell spray foam
Envelope_Wall.csv,Furred_Wall_Insulation_Type,Expanded polystyrene foam board (white)
Envelope_Wall.csv,Furred_Wall_Insulation_Type,Extruded polystyrene foam board (pink or blue)
Envelope_Wall.csv,Furred_Wall_Insulation_Type,Fiberglass batts
Envelope_Wall.csv,Furred_Wall_Insulation_Type,Foil-faced polyiscyanurate foam board
Envelope_Wall.csv,Furred_Wall_Insulation_Type,Mineral wool batts
Envelope_Wall.csv,Furred_Wall_Insulation_Type,Open-cell spray foam
Envelope_Wall.csv,Furred_Wall_Insulation_Type,Vermiculite
Envelope_Wall.csv,Wall_Area_is_Estimated,Estimated
Envelope_Wall.csv,Wall_Area_is_Estimated,Measured or Known
Envelope_Wall.csv,Wall_Cavity_Insulated,No
Envelope_Wall.csv,Wall_Cavity_Insulated,Yes
Envelope_Wall.csv,Wall_Cavity_Insulation_Source,IR Camera
Envelope_Wall.csv,Wall_Cavity_Insulation_Source,Other
Envelope_Wall.csv,Wall_Cavity_Insulation_Source,Visual inspection
Envelope_Wall.csv,Wall_Cavity_Insulation_Type,Blown cellulose
Envelope_Wall.csv,Wall_Cavity_Insulation_Type,Blown fiberglass
Envelope_Wall.csv,Wall_Cavity_Insulation_Type,Blown mineral wool
Envelope_Wall.csv,Wall_Cavity_Insulation_Type,Cellulose batts
Envelope_Wall.csv,Wall_Cavity_Insulation_Type,Closed-cell spray foam
Envelope_Wall.csv,Wall_Cavity_Insulation_Type,Expanded polystyrene foam board (white)
Envelope_Wall.csv,Wall_Cavity_Insulation_Type,Extruded polystyrene foam board (pink or blue)
Envelope_Wall.csv,Wall_Cavity_Insulation_Type,Fiberglass batts
Envelope_Wall.csv,Wall_Cavity_Insulation_Type,Foil-faced polyiscyanurate foam board
Envelope_Wall.csv,Wall_Cavity_Insulation_Type,Mineral wool batts
Envelope_Wall.csv,Wall_Cavity_Insulation_Type,Mixed
Envelope_Wall.csv,Wall_Cavity_Insulation_Type,None
Envelope_Wall.csv,Wall_Cavity_Insulation_Type,Open-cell spray foam
Envelope_Wall.csv,Wall_Cavity_Insulation_Type,Vermiculite
Envelope_Wall.csv,Wall_Exterior_Insulated,No
Envelope_Wall.csv,Wall_Exterior_Insulated,Yes
Envelope_Wall.csv,Wall_Exterior_Insulation_Source,IR Camera
Envelope_Wall.csv,Wall_Exterior_Insulation_Source,Other
Envelope_Wall.csv,Wall_Exterior_Insulation_Source,Visual inspection
Envelope_Wall.csv,Wall_Exterior_Insulation_Type,Closed-cell spray foam
Envelope_Wall.csv,Wall_Exterior_Insulation_Type,Expanded polystyrene foam board (white)
Envelope_Wall.csv,Wall_Exterior_Insulation_Type,Extruded polystyrene foam board (pink or blue)
Envelope_Wall.csv,Wall_Exterior_Insulation_Type,Foil-faced polyisocyanurate foam board
Envelope_Wall.csv,Wall_Exterior_Insulation_Type,Open-cell spray foam
Envelope_Wall.csv,Wall_Exterior_Insulation_Type,Rigid Insulation Sheathing
Envelope_Wall.csv,Wall_Framing_Material,Metal
Envelope_Wall.csv,Wall_Framing_Material,Other
Envelope_Wall.csv,Wall_Framing_Material,Reinforced concrete
Envelope_Wall.csv,Wall_Framing_Material,Wood
Envelope_Wall.csv,Wall_Framing_Size,2x10
Envelope_Wall.csv,Wall_Framing_Size,2x12
Envelope_Wall.csv,Wall_Framing_Size,2x2
Envelope_Wall.csv,Wall_Framing_Size,2x4
Envelope_Wall.csv,Wall_Framing_Size,2x6
Envelope_Wall.csv,Wall_Framing_Size,2x8
Envelope_Wall.csv,Wall_Framing_Spacing,16 inches on center
Envelope_Wall.csv,Wall_Framing_Spacing,24 inches on center
Envelope_Wall.csv,Wall_Framing_Spacing,30 inches on center
Envelope_Wall.csv,Wall_Framing_Spacing,Other
Envelope_Wall.csv,Wall_Sub_Type,Brick
Envelope_Wall.csv,Wall_Sub_Type,Concrete Block
Envelope_Wall.csv,Wall_Sub_Type,Expanded polystyrene foam board (white)
Envelope_Wall.csv,Wall_Sub_Type,ICF
Envelope_Wall.csv,Wall_Sub_Type,Other
Envelope_Wall.csv,Wall_Sub_Type,Poured Concrete
Envelope_Wall.csv,Wall_Sub_Type,Stone
Envelope_Wall.csv,Wall_Sub_Type,Urethane
Envelope_Wall.csv,Wall_Sub_Type,Wall to heated non-residential occupancy
Envelope_Wall.csv,Wall_Sub_Type,Wall to other living space
Envelope_Wall.csv,Wall_Type,Adiabatic
Envelope_Wall.csv,Wall_Type,Adiabatic (Framed)
Envelope_Wall.csv,Wall_Type,Adiabatic (Masonry)
Envelope_Wall.csv,Wall_Type,Adiabatic (Unknown)
Envelope_Wall.csv,Wall_Type,Alternative Framing
Envelope_Wall.csv,Wall_Type,Framed
Envelope_Wall.csv,Wall_Type,ICF
Envelope_Wall.csv,Wall_Type,Knee Wall
Envelope_Wall.csv,Wall_Type,Log
Envelope_Wall.csv,Wall_Type,Masonry
Envelope_Wall.csv,Wall_Type,Masonry (Basement)
Envelope_Wall.csv,Wall_Type,Other
Envelope_Wall.csv,Wall_Type,SIP
Envelope_Wall.csv,Wall_Type,Structural Steel
Lighting_Installed_Fixtures.csv,Fixture_Collected_As_Fixture_Group,Yes
Lighting_Installed_Fixtures.csv,Fixture_Type,Ceiling Fan
Lighting_Installed_Fixtures.csv,Fixture_Type,Ceiling Mount Fixture (Troffer or Flushmount)
Lighting_Installed_Fixtures.csv,Fixture_Type,Exit Sign
Lighting_Installed_Fixtures.csv,Fixture_Type,Exterior (Flood or Security)
Lighting_Installed_Fixtures.csv,Fixture_Type,Floor Lamp
Lighting_Installed_Fixtures.csv,Fixture_Type,Garage Door Opener
Lighting_Installed_Fixtures.csv,Fixture_Type,Hanging (Chandelier or Pendant)
Lighting_Installed_Fixtures.csv,Fixture_Type,High Bay
Lighting_Installed_Fixtures.csv,Fixture_Type,LED Strip
Lighting_Installed_Fixtures.csv,Fixture_Type,Landscape
Lighting_Installed_Fixtures.csv,Fixture_Type,Low Bay
Lighting_Installed_Fixtures.csv,Fixture_Type,Other
Lighting_Installed_Fixtures.csv,Fixture_Type,Recessed - Can
Lighting_Installed_Fixtures.csv,Fixture_Type,Recessed - Other
Lighting_Installed_Fixtures.csv,Fixture_Type,Table Lamp
Lighting_Installed_Fixtures.csv,Fixture_Type,Torchiere (upward-facing lamp)
Lighting_Installed_Fixtures.csv,Fixture_Type,Track Mounted
Lighting_Installed_Fixtures.csv,Fixture_Type,Wall Mount (Sconce or Vanity)
Lighting_Installed_Fixtures.csv,Socket_Type,Can't Determine
Lighting_Installed_Fixtures.csv,Socket_Type,Integral Fixture
Lighting_Installed_Fixtures.csv,Socket_Type,Large Screw Base (Mogule)
Lighting_Installed_Fixtures.csv,Socket_Type,Medium Screw Base (Standard)
Lighting_Installed_Fixtures.csv,Socket_Type,Other
Lighting_Installed_Fixtures.csv,Socket_Type,Pin Base
Lighting_Installed_Fixtures.csv,Socket_Type,Small Screw Base (Candelabra)
Lighting_Installed_Fixtures.csv,Solar_Powered_Fixture,No
Lighting_Installed_Fixtures.csv,Solar_Powered_Fixture,Yes
Lighting_Installed_Lamps.csv,Fixture_Type,Ceiling Fan
Lighting_Installed_Lamps.csv,Fixture_Type,Ceiling Mount Fixture (Troffer or Flushmount)
