Table,Variable,Position,Units,Variable type,Variable Description / Question Text,2017 Table,2017 Variable,2011 Table,2011 Variable
Building_Shell_One_Line.csv,Window_Area,92,,decimal,Window Area,,,,
Building_Shell_One_Line.csv,Window_U-Value,93,U,decimal,Window U-Value (See RBSA 2022 Methods Report for a description of the methods used to estimate this variable),,,,
Building_Shell_One_Line.csv,Window_UA,94,UA,decimal,Window UA (See RBSA 2022 Methods Report for a description of the methods used to estimate this variable),,,,
Building_Shell_One_Line.csv,Door_Area,95,,decimal,Door Area,,,,
Building_Shell_One_Line.csv,Door_U-Value,96,U,decimal,Door U-Value (See RBSA 2022 Methods Report for a description of the methods used to estimate this variable),,,,
Building_Shell_One_Line.csv,Door_UA,97,UA,decimal,Door UA (See RBSA 2022 Methods Report for a description of the methods used to estimate this variable),,,,
Building_Shell_One_Line.csv,Skylight_Area,98,,decimal,Skylight Area,,,,
Building_Shell_One_Line.csv,Skylight_U-Value,99,U,decimal,Skylight U-Value (See RBSA 2022 Methods Report for a description of the methods used to estimate this variable),,,,
Building_Shell_One_Line.csv,Skylight_UA,100,UA,decimal,Skylight UA (See RBSA 2022 Methods Report for a description of the methods used to estimate this variable),,,,
Building_Shell_One_Line.csv,Window_and_Door_UA,101,UA,decimal,Window and Door UA (See RBSA 2022 Methods Report for a description of the methods used to estimate this variable),,,,
Building_Shell_One_Line.csv,Whole_House_UA,102,UA,decimal,Whole House UA (See RBSA 2022 Methods Report for a description of the methods used to estimate this variable),,,,
Building_Shell_One_Line.csv,Conditioned_Volume_to_Area_Ratio,103,,decimal,Conditioned Volume to Area Ratio,,,,
Building_Shell_One_Line.csv,Floor_to_Ceiling_Ratio,104,,decimal,Floor to Ceiling Ratio,,,,
Building_Shell_One_Line.csv,Window_to_Wall_Ratio,105,,decimal,Window to Wall Ratio,,,,
Building_Shell_One_Line.csv,Wall_Area_to_Conditioned_Area,106,,decimal,Wall Area to Conditioned Area,,,,
Door.csv,CK_SiteID,1,,ID,Site ID,,,SFdoor,siteid
Door.csv,Interior_or_Exterior,2,,Single Choice selection,Door is INTERIOR or EXTERIOR?,,,,
Door.csv,Door_Type,3,,Single Choice selection,Type,,,SFdoor,DoorType
Door.csv,Door_Construction,4,,Single Choice selection,Door Construction,,,,
Door.csv,Door_Mechanism,5,,Single Choice selection,Door Mechanism,,,,
Door.csv,Door_Window_Type,6,,Single Choice selection,Door Window,,,,
Door.csv,Door_Window_Type_Other,7,,long_text,Other SPECIFY:,,,,
Door.csv,Door_Height_Inches,8,in.,decimal,Door Height (in),,,,
Door.csv,Door_Width_Inches,9,in.,decimal,Door Width (in),,,,
Door.csv,Door_Dimensions_Are_Estimated,10,,Single Choice selection,Door dimensions are estimated?,,,,
Door.csv,Door_Area,11,sq. in,decimal,Door Area (sq in),,,SFdoor,DoorArea
Door.csv,Door_U_Value,12,U,decimal,Door U-Value,,,SFdoor,u_doorwall
Door.csv,Door_UA,13,UA,decimal,Door UA (See RBSA 2022 Methods Report for a description of the methods used to estimate this variable),,,,
Ducting.csv,CK_SiteID,1,,ID,Site ID,Mechanical_DuctingAll.csv,CK_SiteID,SFducts,siteid
Ducting.csv,System_Type,2,,Single Choice selection,Type of Duct,Mechanical_DuctingAll.csv,System Type,SFducts,DuctType
Ducting.csv,Evidence_of_Duct_Sealing,3,,Single Choice selection,Is there evidence of duct sealing?,Mechanical_DuctingAll.csv,Evidence of Duct Sealing,,
Ducting.csv,Duct_Sealing_Material,4,,Multiple Choice selection,Sealing Material (Choose all that apply),Mechanical_DuctingAll.csv,Duct Sealing Material,,
Ducting.csv,Duct_Sealing_Material_Other,5,,long_text,Other SPECIFY:,,,,
Ducting.csv,Cavity_Used_for_Air_Transport,6,,Single Choice selection,Is there a cavity used for air transport?,Mechanical_DuctingAll.csv,Cavity Used for Air Transport,SFducts,DuctPlenum
Ducting.csv,Duct_Location_Supply,7,,Single Choice selection,Supply duct location,Mechanical_DuctingAll.csv,Duct Location 1 Supply,,
Ducting.csv,Duct_Location_Return,8,,Single Choice selection,Return duct location,Mechanical_DuctingAll.csv,Duct Location 1 Return,,
Ducting.csv,Percentage_of_Supply_Ducts_in_Conditioned_Space,9,,Single Choice selection,Total percent of supply ducting in conditioned spaces,Mechanical_DuctingAll.csv,Percentage of Supply Ducts in Conditioned Space,SFducts,DuctsInConditioned
Ducting.csv,Percentage_of_Return_Ducts_in_Conditioned_Space,10,,Single Choice selection,Total percent of return ducting in conditioned spaces,Mechanical_DuctingAll.csv,Percentage of Return Ducts in Conditioned Space,SFducts,DuctsReturnInUnconditioned
Ducting.csv,Percentage_of_Supply_Ducts_in_Unconditioned_and_Inaccessible_Sp,11,Percent,decimal,Total percent of return ducting in unconditioned and inaccessible spaces,Mechanical_DuctingAll.csv,Percentage of Supply Ducts in Unconditioned and Inaccessible Space,SFducts,DuctsSupplyInInaccessibleSpace
Ducting.csv,Percentage_Ducts_In_Good_Condition,12,,Single Choice selection,Percentage of Ducts in good condition,,,SFducts,DuctCondition
Ducting.csv,Crossover_Present,13,,Single Choice selection,Is there a duct crossover present?,,,,
Ducting.csv,Crossover_Condition,14,,Single Choice selection,Crossover condition,,,,
Ducting.csv,Flex_Run_Insulation_Type,15,,Single Choice selection,Flex Runs Insulation type,Mechanical_DuctingAll.csv,Flex Run Type 1,,
Ducting.csv,Insulation_Present,16,,Single Choice selection,Presence of duct insulation,,,,
Ducting.csv,Insulation_Type,17,,Single Choice selection,Duct insulation type,Mechanical_DuctingAll.csv,Metal or Ductboard Duct Insulation Type 1,SFducts,DuctInsulationType
Ducting.csv,Insulation_Thickness,18,Inches,decimal,Duct insulation thickness,Mechanical_DuctingAll.csv,Metal or Ductboard Duct Insulation Thickness 1,,
Ducting.csv,Insulation_Condition,19,,Single Choice selection,Duct insulation condition,Mechanical_DuctingAll.csv,Duct Insulation Condition,,
Ducting.csv,Ductboard_P_Thickness,20,in.,decimal,Ductboard thickness (in.),,,,
ElectricalPanel.csv,CK_SiteID,1,,ID,Site ID,SiteOneLine.csv,CK_SiteID,,
ElectricalPanel.csv,Primary_Panel,2,,Single Choice selection,Is the panel a primary or secondary panel?,,,,
ElectricalPanel.csv,Electrical_Panel_Label,3,,text,Electrical Panel Name,SiteOneLine.csv,Electrical Panel Brand,,
ElectricalPanel.csv,Electrical_Panel_Type,4,,Single Choice selection,Electrical Panel Type,SiteOneLine.csv,Electrical Panel Type,,
ElectricalPanel.csv,Electrical_Panel_Brand,5,,Single Choice selection,Electrical Panel Make,,,,
ElectricalPanel.csv,Electrical_Panel_Brand_Other,6,,long_text,Other SPECIFY:,,,,
ElectricalPanel.csv,Electrical_Panel_Vintage,7,,integer,Electrical Panel Year,SiteOneLine.csv,Electric Panel Vintage,,
ElectricalPanel.csv,Electrical_Panel_Capacity,8,amps,Single Choice selection,Electrical Panel Capacity (amps),SiteOneLine.csv,Electric Panel Capacity,,
ElectricVehicleChargers.csv,CK_SiteID,1,,ID,Site ID,SiteOneLine.csv,CK_SiteID,,
ElectricVehicleChargers.csv,Number_Of_EV_Charging_Stations,2,,decimal,Number of electric vehicle charging stations,,,,
ElectricVehicleChargers.csv,EV_Charging_Station_Type,3,,Single Choice selection,Electric vehicle charging station type,SiteOneLine.csv,Electric Vehicle Charging Station,,
ElectricVehicleChargers.csv,EV_Charging_Station_Type_Other,4,,long_text,Other SPECIFY:,,,,
ElectricVehicles.csv,CK_SiteID,1,,ID,Site ID,SiteOneLine.csv,CK_SiteID,,
ElectricVehicles.csv,Electric_Vehicle_Qty,2,,integer,Number of electric vehicles of this type,SiteOneLine.csv,Electric Vehicle Qty,,
ElectricVehicles.csv,Electric_Vehicle_Model,3,,long_text,"Make/model of electric vehicle, including plug-in hybrids",SiteOneLine.csv,Electric Vehicle Type,,
ElectricVehicles.csv,Electric_Vehicle_Type,4,,Single Choice selection,"EV Type (fully electric, EV, or plug-in hybrid, PHEV)",,,,
Envelope_BuildingFenestration.csv,CK_SiteID,1,,ID,Site ID,Envelope_BuildingFenestration.csv,CK_SiteID,,
Envelope_BuildingFenestration.csv,Pct_Windows_Facing_North,2,Percent,decimal,Percent of windows facing North,Envelope_BuildingFenestration.csv,Pct Windows Facing North,,
Envelope_BuildingFenestration.csv,Pct_Windows_Facing_NorthEast,3,Percent,decimal,Percent of windows facing Northeast,Envelope_BuildingFenestration.csv,Pct Windows Facing NorthEast,,
Envelope_BuildingFenestration.csv,Pct_Windows_Facing_East,4,Percent,decimal,Percent of windows facing East,Envelope_BuildingFenestration.csv,Pct Windows Facing East,,
Envelope_BuildingFenestration.csv,Pct_Windows_Facing_SouthEast,5,Percent,decimal,Percent of windows facing Southeast,Envelope_BuildingFenestration.csv,Pct Windows Facing SouthEast,,
Envelope_BuildingFenestration.csv,Pct_Windows_Facing_South,6,Percent,decimal,Percent of windows facing South,Envelope_BuildingFenestration.csv,Pct Windows Facing South,,
Envelope_BuildingFenestration.csv,Pct_Windows_Facing_SouthWest,7,Percent,decimal,Percent of windows facing Southwest,Envelope_BuildingFenestration.csv,Pct Windows Facing SouthWest,,
Envelope_BuildingFenestration.csv,Pct_Windows_Facing_West,8,Percent,decimal,Percent of windows facing West,Envelope_BuildingFenestration.csv,Pct Windows Facing West,,
Envelope_BuildingFenestration.csv,Pct_Windows_Facing_NorthWest,9,Percent,decimal,Percent of windows facing Northwest,Envelope_BuildingFenestration.csv,Pct Windows Facing NorthWest,,
Envelope_BuildingFenestration.csv,Pct_Windows_Facing_Unknown,10,Percent,decimal,Percent of windows facing Unknown direction,,,,
Envelope_Ceiling.csv,CK_SiteID,1,,ID,Site ID,Envelope_Ceiling.csv,CK_SiteID,Multiple tables,siteid
Envelope_Ceiling.csv,Ceiling_Type,2,,Single Choice selection,Type of Ceiling Space,Envelope_Ceiling.csv,Ceiling Type,Multiple tables,Multiple variables
Envelope_Ceiling.csv,Ceiling_Type_Other,3,,long_text,Other SPECIFY:,,,,
Envelope_Ceiling.csv,Ceiling_Area,4,Sq ft,decimal,Ceiling area (sq ft),Envelope_Ceiling.csv,Ceiling Area,Multiple tables,Multiple variables
Envelope_Ceiling.csv,Ceiling_Accessible,5,,Single Choice selection,Is ceiling accessible?,Envelope_Ceiling.csv,Ceiling Accessible,,
Envelope_Ceiling.csv,Type_of_Area_Above_Ceiling,6,,Single Choice selection,Type of area above ceiling,Envelope_Ceiling.csv,Type of Area Above Ceiling,SFadiabaticceiling,AdiabaticCeilingType
Envelope_Ceiling.csv,Ceiling_Framing_Size,7,,Single Choice selection,Framing Size,,,,
Envelope_Ceiling.csv,Ceiling_Framing_Material,8,,Single Choice selection,Ceiling framing material,,,,
Envelope_Ceiling.csv,Ceiling_Framing_Material_Other,9,,long_text,Other SPECIFY:,,,,
Envelope_Ceiling.csv,Ceiling_Framing_Spacing,10,,Single Choice selection,Framing Spacing,,,,
Envelope_Ceiling.csv,Ceiling_Framing_Spacing_Other,11,,long_text,Other SPECIFY:,,,,
Envelope_Ceiling.csv,Ceiling_Insulated,12,,Single Choice selection,Ceiling insulated?,Envelope_Ceiling.csv,Ceiling Insulated,,
Envelope_Ceiling.csv,Ceiling_Insulation_Type_1,13,,Single Choice selection,Insulation 01 Type,Envelope_Ceiling.csv,Ceiling Insulation Type 1,,
Envelope_Ceiling.csv,Ceiling_Insulation_Thickness_1,14,in.,decimal,Insulation 01 Thickness (in.),Envelope_Ceiling.csv,Ceiling Insulation Thickness 1,,
Envelope_Ceiling.csv,Ceiling_Insulation_Condition_1,15,,Single Choice selection,Insulation 01 Condition,Envelope_Ceiling.csv,Ceiling Insulation Condition 1,,
Envelope_Ceiling.csv,Ceiling_Insulation_Type_2,16,,Single Choice selection,Insulation 02 Type,Envelope_Ceiling.csv,Ceiling Insulation Type 2,,
Envelope_Ceiling.csv,Ceiling_Insulation_Thickness_2,17,in.,decimal,Insulation 02 Thickness (in.),Envelope_Ceiling.csv,Ceiling Insulation Thickness 2,,
Envelope_Ceiling.csv,Ceiling_Insulation_Condition_2,18,,Single Choice selection,Insulation 02 Condition,Envelope_Ceiling.csv,Ceiling Insulation Condition 2,,
Envelope_Ceiling.csv,Ceiling_Insulation_Type_3,19,,Single Choice selection,Insulation 03 Type,Envelope_Ceiling.csv,Ceiling Insulation Type 3,,
Envelope_Ceiling.csv,Ceiling_Insulation_Thickness_3,20,in.,decimal,Insulation 03 Thickness (in.),Envelope_Ceiling.csv,Ceiling Insulation Thickness 3,,
Envelope_Ceiling.csv,Ceiling_Insulation_Condition_3,21,,Single Choice selection,Insulation 03 Condition,Envelope_Ceiling.csv,Ceiling Insulation Condition 3,,
Envelope_Ceiling.csv,Ceiling_Insulation_Source,22,,Single Choice selection,How was insulation condition determined?,,,,
Envelope_Ceiling.csv,Ceiling_Insulation_Source_Other,23,,long_text,Other SPECIFY:,,,,
Envelope_Ceiling.csv,Ceiling_Insulation_U-Value,24,U,decimal,Ceiling Insulation U-Value (See RBSA 2022 Methods Report for a description of the methods used to estimate this variable),Envelope_Ceiling.csv,Ceiling Insulation U-Value,Multiple tables,Multiple variables
Envelope_Ceiling.csv,Ceiling_Insulation_R-Value,25,R,decimal,Ceiling Insulation R-Value,Envelope_Ceiling.csv,Ceiling Insulation R-Value,Multiple tables,Multiple variables
Envelope_Ceiling.csv,Ceiling_U-Value_for_Heat_Loss,26,U,decimal,Ceiling U-Value for Heat Loss Calculation (See RBSA 2022 Methods Report for a description of the methods used to estimate this variable),Envelope_Ceiling.csv,Ceiling U-Value for Heat Loss,,
Envelope_Ceiling.csv,Ceiling_Heat_Loss_Rate_UA,27,UA,decimal,Ceiling Heat Loss Rate (UA) (See RBSA 2022 Methods Report for a description of the methods used to estimate this variable),Envelope_Ceiling.csv,Ceiling Heat Loss Rate (UA),,
Envelope_Construction.csv,CK_SiteID,1,,ID,Site ID,Envelope_Construction.csv,CK_SiteID,SFMaster_housegeometry,siteid
Envelope_Construction.csv,Construction_Type,2,,Single Choice selection,Building construction type,Envelope_Construction.csv,Construction Type,SFMaster_housegeometry,SFBuildingType
Envelope_Construction.csv,Framing_Type,3,,Single Choice selection,Type of frame,Envelope_Construction.csv,Framing Type,,
Envelope_Construction.csv,Framing_Type_Other,4,,long_text,Other SPECIFY:,,,,
Envelope_Construction.csv,Foundation_Type,5,,Single Choice selection,Foundation type,Envelope_Construction.csv,Foundation Type,SFMaster_housegeometry,SFFoundation
Envelope_Construction.csv,Foundation_Type_Other,6,,long_text,Other SPECIFY:,,,,
Envelope_Construction.csv,Total_Building_Levels,7,,Single Choice selection,Floors above grade,Envelope_Construction.csv,Total Building Levels,SFMaster_housegeometry,SFFloors
Envelope_Construction.csv,Area,8,Sq ft,decimal,Area,Envelope_Construction.csv,Area,SFMaster_housegeometry,SummarySketchSqFt_Calculated
Envelope_Construction.csv,Average_Height,9,Feet,decimal,Average ceiling height,Envelope_Construction.csv,Average Height,,
Envelope_Construction.csv,Volume,10,Cu ft,decimal,Home volume,Envelope_Construction.csv,Volume,SFMaster_housegeometry,SummarySketchVolume_Calculated; SummaryRoomVolume_Calculated
Envelope_Floor_Foundation.csv,CK_SiteID,1,,ID,Site ID,Envelope_Floor_Foundation.csv,CK_SiteID,Multiple tables,siteid
Envelope_Floor_Foundation.csv,Floor_Type,2,,Single Choice selection,Foundation Type,Envelope_Floor_Foundation.csv,Floor Type,Multiple tables,Multiple variables
Envelope_Floor_Foundation.csv,Floor_Area,3,Sq ft,decimal,Floor area,Envelope_Floor_Foundation.csv,Floor Area,Multiple tables,Multiple variables
Envelope_Floor_Foundation.csv,Is_Space_Conditioned,4,,Single Choice selection,Crawlspace or Basement conditioned?,Envelope_Floor_Foundation.csv,Floor Sub-Type,,
Envelope_Floor_Foundation.csv,Floor_Area_Is_Estimated,5,,Single Choice selection,Area is estimated?,Envelope_Floor_Foundation.csv,Floor Area_notes,,
Envelope_Floor_Foundation.csv,Perimeter,6,Feet,decimal,Foundation perimeter,Envelope_Floor_Foundation.csv,Floor Perimeter,Multiple tables,Multiple variables
Envelope_Floor_Foundation.csv,Perimeter_Is_Estimated,7,,Single Choice selection,Perimeter is estimated?,Envelope_Floor_Foundation.csv,Floor Perimeter_notes,,
Envelope_Floor_Foundation.csv,Type_of_Area_Below,8,,Single Choice selection,Type of area below floor,Envelope_Floor_Foundation.csv,Type of Area Below,SFflooroverarea,FloorAreaBelow
Envelope_Floor_Foundation.csv,Area_Below_Heated,9,,Single Choice selection,Is the area below heated?,Envelope_Floor_Foundation.csv,Area Below Heated,SFflooroverarea,FloorAreaHeated
Envelope_Floor_Foundation.csv,Framing_Type,10,,Single Choice selection,Floor over crawlspace - Framing Type,Envelope_Floor_Foundation.csv,Framing Type,SFflcrawl,CrawlFraming
Envelope_Floor_Foundation.csv,Framing_Size,11,,Single Choice selection,Floor over crawlspace - Joist / Beam Size,Envelope_Floor_Foundation.csv,Framing Size,,
Envelope_Floor_Foundation.csv,Framing_Spacing,12,,Single Choice selection,Floor over crawlspace - Framing Spacing,Envelope_Floor_Foundation.csv,Framing Spacing,,
Envelope_Floor_Foundation.csv,Framing_Spacing_Other,13,,long_text,Other SPECIFY:,,,,
Envelope_Floor_Foundation.csv,Crawlspace_Vents_Present,14,,Single Choice selection,Crawlspace has vents to outside?,Envelope_Floor_Foundation.csv,Crawlspace Vents Present,,
Envelope_Floor_Foundation.csv,Crawlspace_Vents_Blocked,15,,Single Choice selection,Vents blocked or closed?,Envelope_Floor_Foundation.csv,Crawlspace Vents Blocked,,
Envelope_Floor_Foundation.csv,Basement_Percent_Below_Grade,16,Percent,decimal,Percent below grade,Envelope_Floor_Foundation.csv,Basement Percent Below Grade,,
Envelope_Floor_Foundation.csv,Central_Heating_Equipment_in_Basement,17,,Single Choice selection,Central heating equipment in basement?,Envelope_Floor_Foundation.csv,Central Heating Equipment in Basement,,
Envelope_Floor_Foundation.csv,Ducting_in_Basement,18,,Single Choice selection,Ducts in basement?,Envelope_Floor_Foundation.csv,Ducting in Basement,,
Envelope_Floor_Foundation.csv,Slab_Heated,19,,Single Choice selection,Is slab heated?,Envelope_Floor_Foundation.csv,Slab Heated,SFflslab,SlabHeated
Envelope_Floor_Foundation.csv,Slab_Insulated,20,,Single Choice selection,Is slab insulated?,Envelope_Floor_Foundation.csv,Slab Insulated,SFflslab,SlabInsulated
Envelope_Floor_Foundation.csv,Slab_Insulation_Position,21,,Single Choice selection,Slab insulation position,Envelope_Floor_Foundation.csv,Slab Insulation Position,,
Envelope_Floor_Foundation.csv,Slab_Insulation_Type,22,,Single Choice selection,Insulation type,Envelope_Floor_Foundation.csv,Slab Insulation Type 1,,
Envelope_Floor_Foundation.csv,Slab_Insulation_Thickness,23,in.,decimal,Insulation thickness (in.),Envelope_Floor_Foundation.csv,Slab Insulation Thickness 1,,
Envelope_Floor_Foundation.csv,Slab_Insulation_Condition,24,,Single Choice selection,Insulation condition,Envelope_Floor_Foundation.csv,Slab Insulation Condition 1,,
Envelope_Floor_Foundation.csv,Slab_Insulation_Source,25,,Single Choice selection,How was insulation condition determined?,,,,
Envelope_Floor_Foundation.csv,Slab_Insulation_Source_Other,26,,long_text,Other SPECIFY:,,,,
Envelope_Floor_Foundation.csv,Floor_Insulated,27,,Single Choice selection,Floor over crawlspace is insulated?,Envelope_Floor_Foundation.csv,Floor Insulated,Multiple tables,Multiple variables
Envelope_Floor_Foundation.csv,Floor_Insulation_Type,28,,Single Choice selection,Insulation type,Envelope_Floor_Foundation.csv,Slab Insulation Type 1,,
Envelope_Floor_Foundation.csv,Floor_Insulation_Thickness,29,Inches,decimal,Insulation thickness,Envelope_Floor_Foundation.csv,Floor Insulation Thickness 1,,
Envelope_Floor_Foundation.csv,Floor_Insulation_Condition,30,,Single Choice selection,Insulation condition,Envelope_Floor_Foundation.csv,Slab Insulation Condition 1,,
Envelope_Floor_Foundation.csv,Crawlspace_Walls_Insulated,31,,Single Choice selection,Crawlspace walls insulated?,Envelope_Floor_Foundation.csv,Crawlspace Walls Insulated,,
Envelope_Floor_Foundation.csv,Crawlspace_Wall_Insulation_Type,32,,Single Choice selection,Crawlspace Insulation type,Envelope_Floor_Foundation.csv,Crawlspace Wall Insulation Type 1,,
Envelope_Floor_Foundation.csv,Crawlspace_Wall_Insulation_Condition,33,,Single Choice selection,Crawlspace Insulation condition,Envelope_Floor_Foundation.csv,Crawlspace Wall Insulation Condition 1,,
Envelope_Floor_Foundation.csv,Crawlspace_Wall_Insulation_Thickness,34,in.,decimal,Crawlspace Insulation thickness (in.),Envelope_Floor_Foundation.csv,Crawlspace Wall Insulation Thickness 2,,
Envelope_Floor_Foundation.csv,Crawlspace_Wall_Insulation_Source,35,,Single Choice selection,How was insulation condition determined?,,,,
Envelope_Floor_Foundation.csv,Crawlspace_Wall_Insulation_Source_Other,36,,long_text,Other SPECIFY:,,,,
Envelope_Floor_Foundation.csv,Crawlspace_Wall_Exteriors_Insulated,37,,Single Choice selection,Is there insulation on the exterior of the wall?,Envelope_Floor_Foundation.csv,Crawlspace Wall Exteriors Insulated,,
Envelope_Floor_Foundation.csv,Crawlspace_Wall_Exterior_Insulation_Type,38,,Single Choice selection,Ext. Wall Insulation type,Envelope_Floor_Foundation.csv,Crawlspace Wall Exterior Insulation Type 1,,
Envelope_Floor_Foundation.csv,Crawlspace_Wall_Exterior_Insulation_Thickness,39,in.,decimal,Ext. Wall Insulation thickness (in.),Envelope_Floor_Foundation.csv,Crawlspace Wall Exterior Insulation Thickness 1,,
Envelope_Floor_Foundation.csv,Crawlspace_Wall_Exterior_Insulation_Condition,40,,Single Choice selection,Ext. Wall Insulation condition,Envelope_Floor_Foundation.csv,Crawlspace Wall Exterior Insulation Condition 1,,
Envelope_Floor_Foundation.csv,Crawlspace_Wall_Exterior_Insulation_Source,41,,Single Choice selection,How was insulation condition determined?,,,,
Envelope_Floor_Foundation.csv,Crawlspace_Wall_Exterior_Insulation_Source_Other,42,,long_text,Other SPECIFY:,,,,
Envelope_Floor_Foundation.csv,Basement_Floor_Above_Insulated,43,,Single Choice selection,Floor above insulated?,,,SFflbasement,BasementFloorAboveIns
Envelope_Floor_Foundation.csv,Basement_Floor_Above_Insulation_Type,44,,Single Choice selection,Floor above Insulation type,,,SFflbasement,BasementFloorInsulationType
Envelope_Floor_Foundation.csv,Basement_Floor_Above_Insulation_Thickness,45,in.,decimal,Floor above Insulation thickness (in.),,,,
Envelope_Floor_Foundation.csv,Basement_Floor_Above_Insulation_Condition,46,,Single Choice selection,Floor above Insulation condition,,,SFflbasement,BasementFloorInsulationCond
Envelope_Floor_Foundation.csv,Floor_Above_Insulation_Source,47,,Single Choice selection,How was insulation condition determined?,,,,
Envelope_Floor_Foundation.csv,Floor_Above_Insulation_Source_Other,48,,long_text,Other SPECIFY:,,,,
Envelope_Floor_Foundation.csv,Basement_Floor_Above_Insulation_Source,49,,Single Choice selection,How was insulation condition determined?,,,,
Envelope_Floor_Foundation.csv,Basement_Floor_Above_Insulation_Source_Other,50,,long_text,Other SPECIFY:,,,,
Envelope_Floor_Foundation.csv,Floor_Insulation_U-Value,51,U,decimal,Floor Insulation U-Value (See RBSA 2022 Methods Report for a description of the methods used to estimate this variable),Envelope_Floor_Foundation.csv,Floor Insulation U-Value,Multiple tables,Multiple variables
Envelope_Floor_Foundation.csv,Floor_Insulation_R-Value,52,R,decimal,Floor Insulation R-Value,Envelope_Floor_Foundation.csv,Floor Insulation R-Value,Multiple tables,Multiple variables
Envelope_Floor_Foundation.csv,Floor_U-Value_for_Heat_Loss,53,U,decimal,Floor Insulation U-Value for Heat Loss Calculation (See RBSA 2022 Methods Report for a description of the methods used to estimate this variable),Envelope_Floor_Foundation.csv,Floor U-Value for Heat Loss,,
Envelope_Floor_Foundation.csv,Slab_F-Value_for_Heat_Loss,54,F,decimal,Slab F-Value for Heat Loss Calculation,Envelope_Floor_Foundation.csv,Slab F-Value for Heat Loss,,
Envelope_Floor_Foundation.csv,Floor_Heat_Loss_Rate_UA,55,UA,decimal,Floor Heat Loss Rate (UA) (See RBSA 2022 Methods Report for a description of the methods used to estimate this variable),Envelope_Floor_Foundation.csv,Floor Heat Loss Rate (UA),SFfloorua,ua_floor
Envelope_Wall.csv,CK_SiteID,1,,ID,Site ID,Envelope_Wall.csv,CK_SiteID,Multiple tables,siteid
Envelope_Wall.csv,Wall_Type,2,,Single Choice selection,Wall Type,Envelope_Wall.csv,Wall Type,Multiple tables,Multiple variables
Envelope_Wall.csv,Wall_Sub_Type,3,,Single Choice selection,Wall Subtype,Envelope_Wall.csv,Wall Sub-Type,,
Envelope_Wall.csv,Wall_Area,4,Sq ft,decimal,Wall area (sq ft),Envelope_Wall.csv,Wall Area,Multiple tables,Multiple variables
Envelope_Wall.csv,Wall_Area_is_Estimated,5,,Single Choice selection,Wall area estimated?,,,,
Envelope_Wall.csv,Wall_Framing_Spacing,6,,Single Choice selection,Wall framing spacing,Envelope_Wall.csv,Wall Framing Spacing,,
Envelope_Wall.csv,Wall_Framing_Spacing_Other,7,,long_text,Other SPECIFY:,,,,
Envelope_Wall.csv,Wall_Framing_Size,8,,Single Choice selection,Wall framing size,Envelope_Wall.csv,Wall Framing Size,Multiple tables,Multiple variables
Envelope_Wall.csv,Wall_Framing_Material,9,,Single Choice selection,Wall framing material,Envelope_Wall.csv,Wall Framing Material,,
Envelope_Wall.csv,Wall_Thickness,10,in.,decimal,Wall thickness (in.),Envelope_Wall.csv,Wall Thickness,Multiple tables,Multiple variables
Envelope_Wall.csv,Furred_Wall,11,,Single Choice selection,Furred wall?,Envelope_Wall.csv,Furred Wall,,
Envelope_Wall.csv,Furred_Wall_Insulated,12,,Single Choice selection,Furred wall is insulated?,Envelope_Wall.csv,Furred Wall Insulated,,
Envelope_Wall.csv,Furred_Wall_Insulation_Type,13,,Single Choice selection,Furred wall insulation type,Envelope_Wall.csv,Furred Wall Insulation Type,,
Envelope_Wall.csv,Furred_Wall_Insulation_Thickness,14,in.,decimal,Furred wall insulation thickness (in.),Envelope_Wall.csv,Furred Wall Insulation Thickness,,
Envelope_Wall.csv,Furred_Wall_Insulation_Condition,15,,Single Choice selection,Furred wall insulation condition,Envelope_Wall.csv,Furred Wall Insulation Condition,,
Envelope_Wall.csv,Furred_Wall_Insulation_Source,16,,Single Choice selection,Furred wall insulation condition source,,,,
Envelope_Wall.csv,Furred_Wall_Insulation_Source_Other,17,,long_text,Other SPECIFY:,,,,
Envelope_Wall.csv,Wall_Cavity_Insulated,18,,Single Choice selection,Wall cavity insulated?,Envelope_Wall.csv,Wall Cavity Insulated,Multiple tables,Multiple variables
Envelope_Wall.csv,Wall_Cavity_Insulation_Type,19,,Single Choice selection,Cavity Insulation type,Envelope_Wall.csv,Wall Cavity Insulation Type 1,,
Envelope_Wall.csv,Wall_Cavity_Depth,20,Inches,decimal,Wall cavity depth,,,,
Envelope_Wall.csv,Wall_Cavity_Insulation_Thickness,21,in.,decimal,Cavity Insulation thickness (in.),Envelope_Wall.csv,Wall Cavity Insulation Thickness 1,,
Envelope_Wall.csv,Wall_Cavity_Insulation_Condition,22,,Single Choice selection,Cavity Insulation condition,Envelope_Wall.csv,Wall Cavity Insulation Condition 1,,
Envelope_Wall.csv,Wall_Cavity_Insulation_Source,23,,Single Choice selection,Wall cavity insulation condition source,,,,
Envelope_Wall.csv,Wall_Cavity_Source_Other,24,,long_text,Other SPECIFY:,,,,
Envelope_Wall.csv,Wall_Exterior_Insulated,25,,Single Choice selection,Is there insulation on the exterior of the wall?,Envelope_Wall.csv,Wall Exterior Insulated,,
Envelope_Wall.csv,Wall_Exterior_Insulation_Type,26,,Single Choice selection,Exterior insulation type,Envelope_Wall.csv,Wall Exterior Insulation Type 1,,
